entry_time,exit_time,side,entry_px,exit_px,shares,pnl,initial_risk,r_multiple
2024-05-06 00:00:00-04:00,2024-07-25 00:00:00-04:00,long,182.29530110168457,218.86431367797852,108.0,3949.4533582397457,995.1716735184191,3.968615127756294
2024-12-02 00:00:00-05:00,2025-01-03 00:00:00-05:00,long,237.1988232711792,243.28699261016845,145.0,882.7845541534407,1034.8298144759447,0.8530722074339323
2025-03-12 00:00:00-04:00,2025-03-28 00:00:00-04:00,short,220.07395738983155,221.60349716949463,71.0,-108.59732435607884,1036.9313923243546,-0.10472951745886515
2025-04-04 00:00:00-04:00,2025-04-15 00:00:00-04:00,short,193.83183238983156,201.79944261016846,70.0,-557.7327154235826,1046.416146533686,-0.5329932238441699
2025-08-11 00:00:00-04:00,2025-09-11 00:00:00-04:00,long,227.85162216949465,226.81194088134765,87.0,-90.45227206878849,1036.8583726592042,-0.08723686325337554
2025-09-22 00:00:00-04:00,2025-10-13 00:00:00-04:00,long,248.2255130508423,249.30519088134767,106.0,114.44585003356974,1040.3960069382674,0.11000220038364725
2025-10-21 00:00:00-04:00,2025-11-21 00:00:00-05:00,long,261.8014408813477,265.87022720336915,92.0,374.32834162597624,1034.019455533435,0.3620128611921194
2025-12-03 00:00:00-05:00,2025-12-12 00:00:00-05:00,long,286.11415220336914,277.8166238983154,94.0,-779.9676606750508,1042.085401727647,-0.7484680808136859
2026-02-05 00:00:00-05:00,2026-02-13 00:00:00-05:00,long,278.04656588134765,261.9314067626953,80.0,-1289.2127294921875,1032.0757404565165,-1.2491454638028134
2026-04-21 00:00:00-04:00,2026-06-05 00:00:00-04:00,long,271.41855,307.24779433898925,85.0,3045.485768814088,1019.947326305688,2.985924557344569
